b_buildingkey,b_name,nearby_pickup_count
3779,linen,42
19135,misty,36
4416,sienna,26
12627,salmon,22
1906,burlywood,19
18026,chocolate,19
11226,black,18
18989,red,15
17691,coral,13
17698,maroon,13
17981,maroon,13
7777,bisque,12
11056,blue,12
18434,misty,12
8278,yellow,11
1602,mint,9
12218,lawn,9
16413,lime,9
19953,mint,9
6046,dim,8
11835,orange,7
15870,purple,7
18703,lace,7
19283,firebrick,7
16940,beige,6
1881,puff,5
4991,chartreuse,5
5330,drab,5
6261,khaki,5
12927,khaki,5
3455,linen,4
6179,beige,4
7274,blanched,4
8838,cyan,4
12564,moccasin,4
18246,midnight,4
271,lace,3
374,orange,3
735,wheat,3
1604,linen,3
2719,midnight,3
4024,rose,3
4204,almond,3
4802,indian,3
8292,burnished,3
11158,red,3
15442,indian,3
16489,burlywood,3
16967,khaki,3
17805,peach,3
466,deep,2
636,burlywood,2
666,ivory,2
737,orange,2
1236,dim,2
2079,white,2
4384,puff,2
4589,orange,2
5039,deep,2
5244,beige,2
5329,floral,2
5479,chiffon,2
5740,sky,2
6824,tomato,2
7076,aquamarine,2
7383,lace,2
7987,azure,2
9738,green,2
10962,medium,2
11695,firebrick,2
11893,midnight,2
11901,chiffon,2
12133,linen,2
13011,bisque,2
13358,linen,2
14418,tomato,2
14491,deep,2
15186,hot,2
16285,puff,2
16725,aquamarine,2
16757,sandy,2
16831,sky,2
17938,deep,2
18119,papaya,2
18943,chartreuse,2
19817,chocolate,2
79,gainsboro,1
177,indian,1
572,navy,1
618,ivory,1
741,thistle,1
869,snow,1
949,thistle,1
991,indian,1
1017,purple,1
1025,olive,1
1105,brown,1
1344,magenta,1
1352,orange,1
1441,rosy,1
