t_tripkey,avg_distance_to_5_nearest
1397637,82.40977530183955
4166482,82.38756120900636
2976679,82.36270091818895
4977343,82.36256024398405
3373246,82.35261335699347
430931,82.35101693705192
1297698,82.31717218637924
3979553,82.29377023976583
2970494,82.2350308766459
1079535,82.12614520318766
72681,82.08172872578666
5251747,82.05274734348873
5596180,81.98557514962224
4076443,81.74484382831594
5637879,81.71669883428034
4550297,81.68379239849297
259275,81.65126787254387
1494257,81.65023311904348
322436,81.63568489028646
2922317,81.62348826847219
353965,81.62188262513604
1502315,81.6142187574159
2228481,81.56666087659747
3792605,81.5654069446704
3266319,81.53526203792636
3887784,81.39730324885441
5014569,81.38458494814324
3352918,81.29236494918267
4354064,81.09737916336653
2544701,81.0631804326291
1078242,81.0327047271322
4848289,81.01201355280837
741543,80.97645336415381
671508,80.9720788310641
2459665,80.96995547309398
3200395,80.93124266928808
2627287,80.81037534791177
3375639,80.74756376710232
2351127,80.69206480586982
723932,80.66358114320298
2374431,80.62549128897226
5984220,80.58082133577655
5558574,80.49399142362752
1019167,80.47518034421304
4978117,80.46541322969105
2308297,80.44015974950325
4457509,80.40398804921969
4556355,80.3749234061639
2734056,80.34466277994824
5656411,80.34318568283558
4273633,80.33024993133643
3392951,80.29574035216345
5277822,80.28669480804776
1238374,80.26342444724015
2135028,80.2611911505964
3810180,80.24776824677647
5306869,80.24672691986838
3069365,80.24569515495867
2409702,80.23949912655809
3904812,80.22279804025605
893644,80.22264084314175
1424382,80.2149449247006
4990269,80.20807259355264
1536163,80.20787513533723
4454824,80.19784109799048
833809,80.19157104074537
1919583,80.18965739477129
5434717,80.189403767813
3003572,80.18241578451887
1630169,80.18122738649129
1426875,80.17922492386876
4511231,80.1790942702444
2461398,80.16651331335783
758514,80.16567078540496
3668323,80.16445977204907
2907717,80.1572019248139
5935162,80.15597490810636
4307284,80.15506323925486
2095579,80.15350384680191
5260390,80.15341328243132
5936012,80.15186649572253
4400147,80.14709435193473
3426586,80.13891794552661
922500,80.13738908673376
2529061,80.13593286704042
4209823,80.13475675223742
2224314,80.13465734720357
4455783,80.13316886836135
3313209,80.13028847808523
2053316,80.12690048435645
3561268,80.1247350757947
584150,80.11594240248104
705042,80.10051950835931
4779417,80.10040543082837
1537500,80.09899231589262
631899,80.09363885150165
3380299,80.08763688422115
1057839,80.08531218770939
2851102,80.07743914462131
358232,80.07524631809912
