building_1,building_2,area1,area2,overlap_area,iou
7562,18534,2.4373780229964538e-05,2.548706725980828e-05,2.2785758541344757e-05,0.8415764980401906
2285,15719,6.849058279198044e-06,8.77632781176479e-06,6.445979506828921e-06,0.7022218100645453
13658,15719,7.74403565152433e-06,8.77632781176479e-06,6.813826545713668e-06,0.7019832720541139
2285,13658,6.849058279198044e-06,7.74403565152433e-06,5.8121426044000695e-06,0.6619035214302174
7480,16248,1.7624240263046725e-05,2.0039156070424067e-05,1.4370262208799537e-05,0.6169312438543454
13132,15719,8.196937624003745e-06,8.77632781176479e-06,6.234008008541844e-06,0.5804878084714761
18534,19840,2.548706725980828e-05,1.6415155018613432e-05,1.5357254771270103e-05,0.5785373354528549
7562,19840,2.4373780229964538e-05,1.6415155018613432e-05,1.4681310638295869e-05,0.5623380471202981
13132,13658,8.196937624003745e-06,7.74403565152433e-06,5.584592018283684e-06,0.5392416404501531
2831,12645,2.9934185642469055e-06,1.6420738675753347e-06,1.5077972998857706e-06,0.48207937036121495
2285,13132,6.849058279198044e-06,8.196937624003745e-06,4.610923910363157e-06,0.4418679539084671
2582,2925,1.7761929324411216e-05,8.707986472779034e-06,8.078532770907614e-06,0.4392564039019141
10271,16248,9.100099908415406e-06,2.0039156070424067e-05,8.466146330415714e-06,0.4095245695686243
8019,15181,5.37934015889015e-06,4.054843856335468e-06,2.7310257100443524e-06,0.40742372262540505
11901,13358,9.713709880575858e-06,1.8054457470385897e-05,7.269560337012757e-06,0.354636797128016
7480,10271,1.7624240263046725e-05,9.100099908415406e-06,6.9911954285774054e-06,0.3542869380258438
2955,6234,2.157914497126062e-06,4.342577633204926e-06,1.608474435108527e-06,0.32879571075128394
14758,16494,1.5140919104000392e-05,6.871636097607061e-06,5.1282585509780515e-06,0.30372947461728494
3187,19840,5.838558125722522e-06,1.6415155018613432e-05,5.0085742497519525e-06,0.290433975647766
10470,13228,2.5665941727666144e-05,6.398518509733061e-06,5.9114643708794635e-06,0.22603392747242151
3187,18534,5.838558125722522e-06,2.548706725980828e-05,5.365723137502103e-06,0.2066927327474647
9352,10470,7.074987223367166e-06,2.5665941727666144e-05,5.547573293690496e-06,0.2040047342297208
3187,7562,5.838558125722522e-06,2.4373780229964538e-05,4.863016382106119e-06,0.1918400968347143
15292,15302,1.0963382664073915e-05,2.6918748308856885e-06,2.191328607795792e-06,0.19114987796630767
6851,11404,9.795088627050111e-06,2.2199934981515288e-05,5.089811346078758e-06,0.18917566218852594
9237,15594,8.905878597439824e-06,3.970629636380995e-06,1.4322339162522867e-06,0.1251485132660278
9352,13228,7.074987223367166e-06,6.398518509733061e-06,1.3985753125381118e-06,0.1158247098597364
3918,6234,1.1979378122425872e-06,4.342577633204926e-06,5.655482192615449e-07,0.11367878290428846
15351,17791,5.459977362283106e-06,1.0445788190901697e-06,6.116848849801969e-07,0.10380082208050231
10271,13812,9.100099908415406e-06,3.158773879705088e-06,1.1237546612665226e-06,0.10091985981150609
13812,16248,3.158773879705088e-06,2.0039156070424067e-05,1.999130108288332e-06,0.09430392867536672
2955,3918,2.157914497126062e-06,1.1979378122425872e-06,2.3191796497405134e-07,0.07423906503995231
7480,13812,1.7624240263046725e-05,3.158773879705088e-06,1.350361508564848e-06,0.06948930411019748
2658,8219,2.3774838546451375e-05,1.574885871706005e-05,1.104105281875846e-06,0.028738079321706595
10962,13011,1.4297387485145522e-06,1.1314253355352975e-05,2.067420031673283e-07,0.016490219267124764
6441,7365,2.597630542957132e-07,4.45485271409522e-06,3.875826803533058e-08,0.008289018224439686
11203,16747,2.0772158108026702e-05,8.622864622288611e-07,1.4747429671394298e-07,0.006863429084533998
