z_zonekey,pickup_zone,avg_duration_seconds,avg_distance,num_trips
13183,Benewah County,392614.0,0.00218,2
124002,Kreis Unna,190364.0,0.00105,1
52386,Castel di Leva,188379.0,0.00104,1
78851,Ndhiwa,188379.0,0.00104,1
119373,городской округ Гусь-Хрустальный,188081.0,0.00104,1
117127,Маларыцкі раён,188027.0,0.00104,1
61083,Karlskoga kommun,187592.0,0.00104,1
142675,Nuevo Zoquiápam,156532.0,0.000865,6
77314,Krishnagiri,150868.333,0.000835,6
10239,Posey County,104743.5,0.00058,2
136109,Jardim Primavera,93776.0,0.000515,2
38536,Cuayuca de Andrade,87696.0,0.00048,1
6195,Marigat,81407.066,0.000447333,15
6098,Escárcega,79602.187,0.000438125,16
8460,Mueang Phangnga,67410.666,0.00037,3
23851,Assabu,66691.333,0.000366666,3
121853,شهرستان رامیان,66170.666,0.00036,3
117609,Kishanganj,66091.35,0.000363,20
75226,Vestnes,63466.333,0.000346666,3
72662,Денисов ауданы,61557.687,0.0003375,16
70930,قضاء الحويجة,61302.0,0.000336666,3
91413,Záhonyi járás,56547.0,0.00031,4
142192,Pyrénées-Atlantiques,55101.652,0.000302173,23
126839,Thomas County,52699.25,0.0002875,4
34033,Ibarapa North,48359.0,0.000265,2
9940,Emmen,48091.0,0.00026,1
92319,Shire of Nillumbik,46496.0,0.00025,1
35300,Changhan,45744.0,0.00025,1
102242,Phon Charoen,45564.0,0.00025,1
49040,Kham Khuean Kaeo,45560.0,0.00025,1
100252,Ciuchici,45542.0,0.00025,1
82009,اندخوی,45541.0,0.00025,1
152598,St. Pölten,45298.0,0.00025,1
109224,Minamiaizu,45260.0,0.00025,1
120155,Municipio El Hatillo,44898.0,0.00024,1
43156,Marhamat tumani,44611.0,0.00024,2
142394,Ocotlán de Morelos,44598.0,0.00024,1
149879,Reihoku,44455.0,0.00024,1
117176,Weißensee,44390.0,0.00024,1
35729,Shimukappu,44325.0,0.00024,1
55575,Villanueva,44291.0,0.00024,1
63621,Viranşehir,43974.0,0.00024,1
47449,Båtsfjord,43661.2,0.000238,5
2744,Drânceni,43656.0,0.00024,1
93346,Man Repos - La Reconnaissance,43222.0,0.00024,1
6705,Daïra Sidi Naamane,42925.8,0.000234,5
35949,Prejmer,42860.0,0.00023,1
83290,Cosoltepec,42754.0,0.00023,1
29378,Powiat Brzeski,42703.0,0.00023,1
82518,Stevens County,42680.0,0.00023,1
68308,Zumalai,42630.0,0.00023,1
75929,खोटाङ,42612.0,0.00023,1
138458,Letca,42094.0,0.00023,1
72283,Qiloane,41969.0,0.00023,1
104391,San Juan Chicomezúchil,41939.0,0.00023,1
122498,Iiduna,41920.0,0.00023,1
20836,معتمدية قابس الجنوبية,41842.0,0.00023,1
22905,Kawaminami,41612.0,0.00023,1
72866,San Francisco Ixhuatán,41570.0,0.00023,1
48413,St. John the Baptist Parish,41558.0,0.00023,1
43443,Romita,41480.0,0.00023,1
31159,شهرستان رستم,41423.0,0.00023,1
94224,Lichterfelde,41225.0,0.00022,1
128646,Хэрлэн ᠬᠡᠷᠦᠯᠦᠨ,41225.0,0.00022,1
53304,Merișani,41149.0,0.00022,1
61354,Ileana,40781.0,0.00022,1
60238,Finspångs kommun,40759.6,0.000222,5
44370,Peipsiääre vald,40677.0,0.00022,1
31146,Արտաշատ համայնք,40582.0,0.00022,1
107983,Insinger No. 275,40582.0,0.00022,1
71550,городской округ Нижний Новгород,40356.4,0.000218,5
46546,سبري ولسوالۍ,40231.0,0.00022,1
149724,Hjelmeland,40160.2,0.000216,5
137920,Nkanu West,40148.0,0.00022,1
128706,Ibesikpo Asutan,40100.0,0.00022,1
72653,Mariposa No. 350,40055.333,0.00022,6
107480,Mașloc,39980.0,0.00022,1
91965,Mafia,39966.0,0.00022,1
121190,Ферзиковский район,39779.0,0.00022,1
111755,هرات,39657.0,0.00022,1
18781,Bossembélé,39528.0,0.000214,5
32677,Jalžabet,39499.0,0.00021,1
94263,شهرستان کوهپایه,39487.666,0.000215,6
44778,Black Bush Polder,39301.0,0.00021,1
20223,Oshamambe,39292.2,0.000214,5
121927,Pirituba,39039.0,0.00021,1
115280,Ibaraki,39035.0,0.00021,1
103584,The_Sea_Front,39023.0,0.00021,1
121953,Municipio Andrés Bello,38411.0,0.00021,1
122573,Nyborg Kommune,38397.0,0.00021,1
55353,Communauté maritime des Îles-de-la-Madeleine,38377.0,0.00021,1
68679,Kay County,38318.0,0.00021,1
154238,Unakoti,38281.0,0.00021,1
6495,منطقة الحفّة,38061.0,0.00021,1
32023,Ciumești,38049.0,0.00021,1
61662,San Juan Evangelista Analco,37992.0,0.00021,1
141200,حي الميلاد,37971.0,0.00021,1
153105,Güney Mahallesi,37904.0,0.00021,1
50513,Daïra Beni Maouche,37887.0,0.00021,1
25707,Bellvitge,37857.0,0.00021,1
