c_custkey,customer_name,pickup_month,monthly_travel_hull_area,dropoff_count
10609,Customer#000010609,1998-05-01,36943.5600373373,11
25975,Customer#000025975,1992-02-01,34941.303419053635,10
12061,Customer#000012061,1997-03-01,34607.53871953154,14
21418,Customer#000021418,1993-08-01,34465.32323910264,9
24091,Customer#000024091,1992-10-01,34311.720427488195,13
6286,Customer#000006286,1998-08-01,33952.52696590348,7
29950,Customer#000029950,1995-12-01,33746.59865856234,9
19531,Customer#000019531,1992-07-01,33582.47780274444,9
28768,Customer#000028768,1993-02-01,33570.73670844003,7
11038,Customer#000011038,1993-08-01,33553.6734624358,7
850,Customer#000000850,1993-05-01,33513.08789888445,7
982,Customer#000000982,1992-12-01,33418.08901665352,11
11734,Customer#000011734,1995-03-01,33302.584271184474,8
3184,Customer#000003184,1994-03-01,33179.86981979813,9
10270,Customer#000010270,1993-03-01,33102.44829441473,10
22633,Customer#000022633,1993-01-01,33099.18367529666,8
21115,Customer#000021115,1995-11-01,33065.02043478556,10
14008,Customer#000014008,1994-06-01,33006.6224295024,6
27571,Customer#000027571,1995-01-01,32958.83896514772,11
24190,Customer#000024190,1994-04-01,32903.865970155544,8
24377,Customer#000024377,1994-09-01,32719.599743626924,11
3787,Customer#000003787,1994-01-01,32647.20919438982,12
21205,Customer#000021205,1993-02-01,32627.15177884567,10
18835,Customer#000018835,1997-02-01,32561.977933868853,7
11209,Customer#000011209,1996-12-01,32546.090039915667,9
8938,Customer#000008938,1995-07-01,32393.649231114297,11
19357,Customer#000019357,1996-09-01,32381.36884607446,6
1756,Customer#000001756,1994-08-01,32318.13316173898,10
24121,Customer#000024121,1997-03-01,32257.47304350538,8
21274,Customer#000021274,1996-02-01,32213.403292761788,10
15346,Customer#000015346,1995-12-01,32174.658270564352,9
27133,Customer#000027133,1997-06-01,32132.925911706297,9
13342,Customer#000013342,1998-01-01,32125.84453982619,11
20227,Customer#000020227,1993-01-01,32109.960429327868,6
19678,Customer#000019678,1998-08-01,32097.99504710016,9
22,Customer#000000022,1992-09-01,32088.85369653264,11
1927,Customer#000001927,1995-03-01,32077.320266938368,8
18529,Customer#000018529,1992-03-01,31960.85000521764,8
12430,Customer#000012430,1996-08-01,31943.295364646576,6
18391,Customer#000018391,1997-05-01,31930.192857277492,10
20179,Customer#000020179,1995-08-01,31928.518296460592,9
14332,Customer#000014332,1998-10-01,31836.73430872721,7
23788,Customer#000023788,1992-05-01,31829.406111126962,6
1414,Customer#000001414,1992-11-01,31827.280539933745,14
1945,Customer#000001945,1995-09-01,31796.93412094714,10
19534,Customer#000019534,1993-10-01,31775.8182895618,12
4735,Customer#000004735,1994-04-01,31759.91347365958,11
3052,Customer#000003052,1993-04-01,31749.82217480684,7
6076,Customer#000006076,1998-01-01,31701.878958070447,9
18310,Customer#000018310,1994-09-01,31700.82903294693,7
20263,Customer#000020263,1997-02-01,31670.672750856116,8
3358,Customer#000003358,1997-06-01,31637.55913452128,9
6673,Customer#000006673,1997-06-01,31546.053004543184,11
28381,Customer#000028381,1994-10-01,31520.487300710556,9
1288,Customer#000001288,1996-03-01,31505.59288979862,6
13966,Customer#000013966,1992-01-01,31499.755968980782,7
415,Customer#000000415,1992-07-01,31480.904579450005,9
13456,Customer#000013456,1997-08-01,31440.571228444293,8
17461,Customer#000017461,1993-09-01,31439.247827226114,11
1609,Customer#000001609,1994-10-01,31388.445184093427,13
22996,Customer#000022996,1994-01-01,31360.10958939788,6
21661,Customer#000021661,1993-09-01,31300.939195824314,10
7789,Customer#000007789,1998-05-01,31247.97057960979,10
11020,Customer#000011020,1992-05-01,31231.838471226052,8
25330,Customer#000025330,1996-06-01,31219.799075372917,12
17608,Customer#000017608,1995-12-01,31180.290535305663,9
21739,Customer#000021739,1998-08-01,31172.275365843507,12
1789,Customer#000001789,1995-04-01,31126.714037213373,13
9010,Customer#000009010,1992-06-01,31108.29208111055,6
25702,Customer#000025702,1993-03-01,31087.75628088718,10
3337,Customer#000003337,1998-02-01,31076.22572122679,9
1930,Customer#000001930,1997-01-01,31074.062497183106,8
25837,Customer#000025837,1996-08-01,31049.774647323273,12
12337,Customer#000012337,1995-08-01,31044.435525271372,13
21481,Customer#000021481,1993-12-01,31021.320742439,8
16390,Customer#000016390,1993-01-01,31017.954337468844,9
24481,Customer#000024481,1998-11-01,31000.982325785073,7
15374,Customer#000015374,1996-07-01,30940.25377272316,6
6331,Customer#000006331,1996-03-01,30916.59256739491,10
19021,Customer#000019021,1994-04-01,30912.133243998458,9
19933,Customer#000019933,1996-08-01,30903.61551067081,7
15673,Customer#000015673,1995-03-01,30840.98047495075,9
29203,Customer#000029203,1993-10-01,30840.517168715844,10
19288,Customer#000019288,1996-06-01,30835.8354684898,11
13945,Customer#000013945,1998-04-01,30802.87645150262,10
1903,Customer#000001903,1997-10-01,30788.248199951726,6
15550,Customer#000015550,1995-05-01,30777.7320107104,8
26731,Customer#000026731,1997-01-01,30776.4708403861,8
20551,Customer#000020551,1993-02-01,30760.49541312635,10
9979,Customer#000009979,1997-11-01,30708.682782644533,7
10063,Customer#000010063,1995-06-01,30703.850567271576,12
8440,Customer#000008440,1995-07-01,30686.398348227354,8
18385,Customer#000018385,1992-08-01,30678.08181845583,9
24844,Customer#000024844,1992-07-01,30672.005266217107,9
10135,Customer#000010135,1992-11-01,30660.387351909554,9
23527,Customer#000023527,1996-04-01,30654.6680309782,7
29830,Customer#000029830,1993-07-01,30653.368763448358,9
20536,Customer#000020536,1996-05-01,30649.226430539202,8
19639,Customer#000019639,1995-02-01,30625.734154489863,14
5842,Customer#000005842,1993-09-01,30614.710538168853,8
