pickup_month,total_trips,avg_distance,avg_duration_seconds,avg_fare
1992-04-01,2,2e-05,5027.0,7.5e-05
1992-07-01,1,1e-05,3538.0,4e-05
1994-02-01,2,2e-05,5030.0,5e-05
1994-03-01,2,1e-05,3202.5,3e-05
1994-08-01,1,1e-05,3216.0,5e-05
1994-11-01,3,5e-05,9498.333,0.000106666
1995-02-01,1,0.00019,34395.0,0.00031
1995-03-01,2,5e-06,1497.5,2e-05
1995-04-01,1,0.0,0.0,0.0
1995-05-01,1,1e-05,2814.0,2e-05
1995-10-01,1,0.0,1362.0,2e-05
1996-04-01,1,1e-05,2752.0,2e-05
1996-12-01,1,0.0,1144.0,1e-05
1997-02-01,1,0.00024,43267.0,0.00037
1997-05-01,1,2e-05,4935.0,7e-05
1997-06-01,1,0.0,0.0,0.0
1997-07-01,1,4e-05,8233.0,0.0001
1997-11-01,1,0.0,0.0,0.0
1997-12-01,1,2e-05,4732.0,7e-05
1998-08-01,1,1e-05,3110.0,3e-05
1998-10-01,1,0.0,879.0,1e-05
1998-11-01,1,2e-05,4959.0,6e-05
