t_tripkey,pickup_lon,pickup_lat,t_pickuptime,distance_to_center
1451371,-111.791052127,34.826733457,1998-08-12 06:47:01,0.05243333056935387
2047835,-111.706967009,34.883889472,1992-04-08 07:36:09,0.055865062714050374
3936870,-111.827619221,34.882950924,1998-11-10 13:32:07,0.06792427838042854
2162201,-111.754882978,34.945942112,1997-05-24 12:54:50,0.07648710741274205
3109716,-111.814201688,34.806160715,1998-10-09 19:57:28,0.08287134815098217
5684598,-111.831891196,34.824578274,1994-11-11 10:40:14,0.08403292109364444
3162067,-111.780943497,34.786960535,1996-12-23 21:20:07,0.08510911902420172
4720241,-111.651220298,34.895253085,1995-05-09 22:35:24,0.11271443174778181
2428191,-111.877145095,34.8940654,1994-11-15 18:56:50,0.1186733154913975
5732099,-111.688482233,34.973377138,1997-06-19 04:42:21,0.12652183793533564
3820767,-111.831469631,34.978602712,1997-12-17 14:05:20,0.12971418416746627
2869536,-111.695635113,34.982210773,1994-02-10 21:37:39,0.13012010795253642
1826539,-111.658087797,34.786056942,1996-04-29 17:20:12,0.1326162986887549
5711815,-111.85183032,34.759882232,1997-02-26 13:11:17,0.14251347023985383
4298874,-111.883363055,34.944157743,1994-08-17 09:07:12,0.14323642246854856
5503906,-111.896794625,34.817645822,1994-02-19 07:53:33,0.14542976870691532
5146274,-111.620293493,34.910501561,1995-02-06 11:27:26,0.1465028617200859
4229913,-111.845953498,34.747256476,1995-04-18 11:26:12,0.14902856569120063
3376350,-111.905908008,34.789630673,1994-03-30 18:00:55,0.1655579291630639
4923037,-111.8948563,34.758341945,1995-03-04 14:07:24,0.17412100810377593
1850588,-111.604862882,34.783946443,1997-07-30 10:25:38,0.1781361057043057
1212123,-111.598293928,34.788713356,1994-03-04 15:11:40,0.18174735863843836
5499488,-111.580800848,34.837810339,1992-07-13 11:01:16,0.18299913896030806
5649662,-111.773394147,34.674556937,1994-04-25 22:41:22,0.19553626240899943
334628,-111.808010571,34.661789775,1997-12-15 05:32:36,0.21315875643589313
5351115,-111.900093513,34.700389497,1994-11-05 22:04:33,0.21911880746479817
3082106,-111.843289194,35.075637802,1993-09-18 06:04:38,0.22176990269592697
2752961,-111.594977115,34.719029602,1995-10-24 11:33:02,0.22419894553097025
1966785,-111.598549171,35.025800523,1992-04-12 08:51:31,0.22529457411055973
3989218,-111.943830079,34.734356565,1995-03-08 19:26:11,0.2274745770075103
1480273,-111.576459974,35.003328815,1997-11-09 23:49:00,0.22784135137060368
4234628,-111.548340056,34.779425767,1997-01-10 23:03:47,0.2310274635748307
3541389,-111.603987451,34.678126972,1996-07-03 06:30:57,0.24769571171210591
1030290,-111.966915075,34.72984391,1992-02-13 13:39:22,0.24891915157807215
5686033,-111.512303328,34.853010805,1998-11-14 22:55:56,0.24925602077707343
5856896,-111.732167746,34.62028584,1992-11-06 11:04:50,0.2510751323393579
4875785,-112.007389639,34.799748557,1993-06-13 00:02:24,0.2561270360276962
3917226,-111.51647256,34.790737172,1996-03-22 19:20:35,0.2569606917773823
2116161,-111.961681716,34.695962335,1992-08-11 04:15:48,0.2654391217894615
563123,-111.71878609,34.60565961,1998-10-24 12:21:44,0.2673936082797101
4056069,-111.496498859,34.826185546,1995-11-16 08:44:54,0.2680566382263617
4536782,-111.521878994,34.993473347,1997-12-02 19:28:13,0.26925582062051906
1648066,-111.500896315,34.940294897,1997-04-12 04:51:11,0.2695135737453952
575608,-111.491093769,34.842752102,1992-11-16 19:07:45,0.27124815711676314
3800416,-111.569564406,35.066802065,1996-07-04 20:36:01,0.2747668296526976
3541355,-111.973752234,34.688287408,1995-12-25 12:58:03,0.2795962117199597
1987720,-111.712383844,34.590165855,1992-03-09 16:05:59,0.2837302748123586
524755,-111.603513878,34.608731225,1992-01-27 07:08:44,0.30480580727341605
5816988,-111.924543568,34.60728145,1994-10-20 00:49:21,0.30920865773499245
3593903,-111.55317079,35.101291315,1992-04-15 23:09:52,0.311171203218825
3490775,-111.840942273,34.564270235,1998-12-10 04:58:16,0.3157184004146124
2837890,-111.458634303,34.962877051,1996-05-25 06:17:48,0.3163968671705702
5194612,-111.795214977,34.549223864,1992-05-16 15:54:04,0.3222974067481828
3966467,-111.699757155,34.550361283,1993-10-04 05:46:50,0.32515827259797664
4618596,-112.009183887,34.656138153,1993-07-14 17:38:32,0.3274200730872892
