z_zonekey,z_name,trip_count
61858,Ndélé,31
158698,Blackall Tambo Regional,24
233698,乐山市,20
255895,锡林郭勒盟 ᠰᠢᠯᠢ ᠶᠢᠨ ᠭᠣᠣᠯ ᠠᠶᠢᠮᠠᠭ,19
94933,Haraze-Mangueigne,17
40216,宜宾市,14
247026,Олёкминский улус,13
123372,雅安市,9
10059,Шептицький район,8
136743,Longreach Regional,8
213443,Boven Digoel,8
128602,Луцький район,7
205146,Lac Iro,7
427366,لواء قصبة العقبة,7
53859,Shelby County,6
210159,נפת באר שבע,6
339568,Ouadda,6
114821,Mills County,5
202563,Сунтарский улус,5
205834,凉山彝族自治州 ꆃꎭꆈꌠꊨꏦꏱꅉꍏ,5
189022,Nakhl,4
220416,North Fly District,4
355355,Pastoral Unincorporated Area,4
360740,Middle Fly District,4
49109,Заполярный район,3
109960,Sur Chichas,3
140357,甘孜藏族自治州 དཀར་མཛེས་བོད་རིགས་རང་སྐྱོང་ཁུལ།,3
255724,Cumaribo,3
380214,昭通市,3
389314,Merauke,3
434856,San Saba County,3
5800,Shire Of Derby-West Kimberley,2
25022,Эвенкийский район,2
39247,Красноармейский муниципальный округ,2
53250,Львівський район,2
77363,Nuweiba,2
79891,Zoueratt,2
104005,Daïra de Reggane,2
144117,和田地区 خوتەن ۋىلايىتى,2
153280,Tønder Kommune,2
200120,မင်းတပ်,2
202799,محافظة حقل,2
203241,لواء القويرة,2
350995,Laas Caanood لاس عانود,2
353949,Jamésie,2
356298,常德市,2
366759,Reifi Telkok,2
381927,Тындинский муниципальный округ,2
387018,Daïra Tazrouk,2
389977,LaSalle Parish,2
391713,Provincia Nor Chichas,2
392087,Ogoouè et Lacs,2
392737,Gert Sibande,2
394521,Манлай ᠮᠩᠯᠠᠢ,2
412368,Antonio Quijarro,2
2187,Powiat Gryficki,1
2263,ဖလမ်း,1
5215,Daïra de Zaouiet Kounta,1
5746,Diamantina Shire,1
6898,Их-Уул ᠶᠡᠬᠡ ᠠᠭᠤᠯᠠ,1
7564,ထန်တလန်,1
9220,Kaita,1
9797,Maralinga Tjarutja,1
12163,内江市,1
12764,Municipal District of Bighorn,1
14603,King Sabata Dalindyebo Ward 31,1
15197,Ramotshere Moiloa Ward 19,1
17443,Province d'Aousserd إقليم أوسرد,1
17650,Escárcega,1
17921,Marigat,1
20329,Central Darling Shire Council,1
20438,Segundo Distrito,1
26691,Brasília Legal,1
29076,муниципальный округ Ямальский район,1
32728,Cariboo Regional District,1
36814,Peterborough County,1
37389,သနပ္ပင်မြို့နယ်,1
38308,Benewah County,1
38767,Мазановский муниципальный округ,1
43437,Kgetlengrivier Ward 3,1
44201,Corentyne River,1
48021,Coryell County,1
49563,Reynolds County,1
50872,Comunidad de Madrid,1
52901,Bojanala Platinum District Municipality,1
53436,丽江市,1
54644,Marsa Alam,1
58979,Msukaligwa Ward 11,1
59335,Смоленский район,1
59912,Ақжайық ауданы,1
66482,Mungwi District,1
68703,Garden Route District Municipality,1
68724,Mysuru,1
69230,Hardeman County,1
74446,محافظة بحرة,1
75878,Kauru,1
76731,Noniya,1
78412,Saône-et-Loire,1
79526,South Fly District,1
79643,眉山市,1
79834,Nuer,1
81735,Birao,1
82144,Unorganized Division No. 18,1
84771,Wajir West,1
86306,Благовещенский муниципальный округ,1
88335,El Retorno,1
90590,محافظة الأحساء,1
91327,Kilwa,1
93322,Cercle de Bourem,1
94612,ئاقسۇ ۋىلايىتى - 阿克苏地区,1
95067,Усть-Янский улус,1
96681,Departamento Nueve de Julio,1
97661,Departamento Santa María,1
98867,Abanga-Bignè,1
100036,Navolato,1
102857,Ventura County,1
103370,O.R. Tambo District Municipality,1
104580,Мандах ᠮᠠᠨᠳᠤᠬᠤ,1
110574,阿拉善盟 ᠠᠯᠠᠱᠠ ᠠᠶᠢᠮᠠᠭ,1
112449,محافظة يدمه,1
114743,Mkhondo Ward 2,1
116584,Flinders Shire,1
121226,Dogiyai,1
122080,Komo,1
123814,شهرستان ارسنجان,1
124829,甘南藏族自治州 ཀན་ལྷོ་བོད་རིགས་རང་སྐྱོང་ཁུལ།,1
127927,São Pedro de Itabapoana,1
130730,Bondowoso,1
132580,Laasqoray لاسقرى,1
136724,Kannaland Ward 4,1
138723,Shire of East Pilbara,1
140994,Minganie,1
143999,Alger County,1
147171,Knockmoyle,1
148134,保定市,1
149603,Departamento Veinticinco de Mayo,1
150990,Амгинский улус,1
155109,Roosevelt County,1
156118,Al-Hasna,1
157408,Wiang Chiang Rung,1
158713,Lampasas County,1
159508,Ávila,1
159815,Namentenga,1
160023,Шарьинский район,1
160401,Dôa,1
162227,Shire Of Carnarvon,1
163284,Алданский улус,1
163731,Maiwut,1
164066,Arlit,1
167058,Dhenkanal,1
175350,Tibesti Est,1
185051,Municipio Angostura,1
185600,Mappi,1
187108,Bácum,1
199573,Jáchal,1
202172,Huarochirí,1
203125,张家口市,1
211826,Денисов ауданы,1
214675,Shire of Halls Creek,1
218560,海西蒙古族藏族自治州 མཚོ་ནུབ་སོག་རིགས་ཆ་བོད་རིགས་རང་སྐྱོང་ཁུལ།,1
219209,Hudspeth County,1
220986,Bundas,1
221789,Coorong District Council,1
223838,Northern Rockies Regional Municipality,1
225903,محافظة رنيه,1
229970,okres Liptovský Mikuláš,1
237950,Al Ganab,1
242174,Osage County,1
245000,Мильковский муниципальный округ,1
252437,Chongoene,1
256162,Benito Juárez,1
258913,okres Banská Bystrica,1
261118,玉树藏族自治州 ཡུལ་ཤུལ་བོད་རིགས་རང་སྐྱོང་ཁུལ།,1
262510,Androscoggin County,1
268044,မတူပီ,1
268100,Sambas,1
272809,Fall River County,1
279731,Lavastrie,1
282052,Булунский улус,1
284080,乌鲁木齐市 ئۈرۈمچى,1
284470,Berseba,1
287209,Охотский муниципальный округ,1
290324,North Slope Borough,1
293719,Seoni,1
296381,Christian County,1
296852,Santa Barbara County,1
297173,自贡市,1
300057,Daïra d'In Salah,1
303293,Telefomin District,1
306621,Osage County,1
307431,Putumayo,1
309396,Drenovci,1
317282,榆林市,1
318853,Hueyapan de Ocampo,1
318960,Winston County,1
323644,Palawan,1
325867,Bell County,1
327630,ဟားခါး,1
331879,Тугуро-Чумиканский район,1
339825,شهرستان پاسارگاد,1
340480,Marne,1
341535,Madison County,1
341680,Kishanganj,1
346401,Ras Sidr,1
352338,Yuma County,1
356998,Powiat Tomaszowski,1
357400,Türkmenbaşy etraby,1
358893,El Encanto,1
359726,Al Butanah,1
365716,Череповецкий район,1
369550,那曲市 ནག་ཆུ་ས་ཁུལ།,1
374389,محافظة العقيق,1
384184,Krødsherad,1
386972,Мелеузовский район,1
388280,Арзгирский муниципальный округ,1
388474,白山市,1
389365,Калевальский район,1
389568,Dakoro,1
398535,Шилүүстэй ᠰᠢᠯᠦᠭᠦᠰᠦᠲᠡᠢ,1
399172,Bamingui,1
400115,Володимирський район,1
402310,Siwa,1
403632,Departamento Guaymallén,1
404590,Texas County,1
407846,Shire Of Manjimup,1
413727,Pyrénées-Atlantiques,1
417412,Жуковский муниципальный округ,1
418720,Cantal,1
420666,Kinnaur,1
421443,okres Kežmarok,1
425515,Gobernador Dupuy,1
426248,Ngaka Modiri Molema District Municipality,1
426582,Navojoa,1
427393,Franklin County,1
430642,Keilak,1
436610,Shire Of Wiluna,1
439730,Kendrapara,1
441964,مالاکنڈ ڈویژن,1
444582,Kabalebo,1
446069,Билибинский район,1
446845,ເມືອງອຸທຸມພອນ,1
449347,Coeroeni,1
454567,Yunusari,1
