t_tripkey,reported_distance_m,line_distance_m,detour_ratio
27386894,0.0001,11111.125997549563,8.999987942001011e-09
35433139,0.0001,11111.126003077325,8.999987937523535e-09
42000317,0.0001,11111.126008451574,8.999987933170405e-09
26261118,0.0001,11111.1260489867,8.99998790033704e-09
4688563,0.0001,11111.126052681648,8.99998789734414e-09
57193882,0.0001,11111.126065851726,8.999987886676406e-09
51243907,0.0001,11111.126067683112,8.999987885192986e-09
47307466,0.0001,11111.126093934496,8.999987863929422e-09
49854173,0.0001,11111.126094247733,8.999987863675704e-09
2380123,0.0001,11111.12609506588,8.999987863013005e-09
53277313,0.0001,11111.12609541291,8.999987862731911e-09
57437655,0.0001,11111.126101631577,8.999987857694806e-09
43169502,0.0001,11111.126109095829,8.999987851648781e-09
10293420,0.0001,11111.126109170606,8.999987851588208e-09
52637305,0.0001,11111.12611486545,8.999987846975396e-09
22723458,0.0001,11111.126119105673,8.999987843540828e-09
39836340,0.0001,11111.126123043792,8.999987840350958e-09
34282607,0.0001,11111.126124782102,8.999987838942931e-09
16262222,0.0001,11111.126128291166,8.999987836100596e-09
49298551,0.0001,11111.126133554331,8.999987831837443e-09
53376717,0.0001,11111.126134745598,8.99998783087252e-09
19134657,0.0001,11111.126137029652,8.999987829022441e-09
3077131,0.0001,11111.126138581423,8.99998782776551e-09
58048157,0.0001,11111.126138667452,8.999987827695827e-09
57659747,0.0001,11111.12613882742,8.999987827566254e-09
21087444,0.0001,11111.126148025634,8.999987820115721e-09
55947205,0.0001,11111.126149552045,8.999987818879331e-09
24204231,0.0001,11111.126151874696,8.999987816997988e-09
7774949,0.0001,11111.126157481924,8.999987812456145e-09
18817010,0.0001,11111.126157735544,8.999987812250714e-09
55247554,0.0001,11111.126158883995,8.99998781132047e-09
33644081,0.0001,11111.126159967747,8.999987810442635e-09
46151035,0.0001,11111.126163682473,8.999987807433717e-09
17276845,0.0001,11111.12616381572,8.999987807325783e-09
53027758,0.0001,11111.126166557464,8.999987805104979e-09
1702730,0.0001,11111.126168640463,8.999987803417754e-09
27975359,0.0001,11111.126168952518,8.99998780316499e-09
47099003,0.0001,11111.12617073813,8.999987801718647e-09
29872333,0.0001,11111.126174000983,8.999987799075744e-09
25918726,0.0001,11111.126178478477,8.999987795448987e-09
16844318,0.0001,11111.12618005333,8.999987794173357e-09
43216870,0.0001,11111.126180342464,8.999987793939159e-09
16757237,0.0001,11111.126181403664,8.999987793079591e-09
46750794,0.0001,11111.126188090968,8.999987787662888e-09
34281545,0.0001,11111.12618819689,8.999987787577091e-09
21174996,0.0001,11111.126190233266,8.99998778592763e-09
29257113,0.0001,11111.126194035947,8.999987782847468e-09
3343884,0.0001,11111.126195686247,8.999987781510727e-09
4962756,0.0001,11111.12619692106,8.999987780510533e-09
36434473,0.0001,11111.126198607411,8.99998777914459e-09
23243843,0.0001,11111.126203957649,8.999987774810913e-09
57640027,0.0001,11111.126204058815,8.999987774728965e-09
1435640,0.0001,11111.126212002468,8.999987768294626e-09
29130705,0.0001,11111.126213129688,8.999987767381579e-09
25196079,0.0001,11111.126217179642,8.999987764101125e-09
38381206,0.0001,11111.126219036609,8.999987762596988e-09
53347994,0.0001,11111.126223290672,8.999987759151205e-09
1166096,0.0001,11111.126225007954,8.999987757760211e-09
36709776,0.0001,11111.126226313234,8.999987756702937e-09
15547893,0.0001,11111.12622642793,8.999987756610033e-09
58412957,0.0001,11111.12622645852,8.999987756585254e-09
57612423,0.0001,11111.126227701772,8.999987755578223e-09
25792669,0.0001,11111.126228262245,8.999987755124243e-09
58356933,0.0001,11111.126230290616,8.999987753481265e-09
238602,0.0001,11111.126235605192,8.99998774917647e-09
51282824,0.0001,11111.126235906626,8.999987748932311e-09
31550240,0.0001,11111.12623708784,8.999987747975528e-09
53109594,0.0001,11111.126237867207,8.999987747344244e-09
17151482,0.0001,11111.126240427302,8.999987745270573e-09
1975682,0.00012,13333.351490132389,8.999987744177327e-09
49831767,0.0001,11111.126242655362,8.999987743465849e-09
19537434,0.0001,11111.126243964234,8.999987742405664e-09
37701464,0.0001,11111.126245308318,8.99998774131696e-09
848464,0.0001,11111.126245727608,8.999987740977337e-09
56826637,0.0001,11111.12624884233,8.999987738454418e-09
28605294,0.0001,11111.126250982075,8.999987736721228e-09
23972385,0.0001,11111.126252400198,8.999987735572554e-09
26185401,0.00012,13333.35150297469,8.999987735508798e-09
40839629,0.0001,11111.126252678405,8.999987735347208e-09
26879460,0.0001,11111.126256823558,8.99998773198964e-09
12740464,0.0001,11111.12625944226,8.9999877298685e-09
37768430,0.0001,11111.126260032224,8.999987729390628e-09
412851,0.0001,11111.126261246349,8.999987728407191e-09
17952292,0.0001,11111.126261767173,8.999987727985324e-09
46179636,0.0001,11111.12626177292,8.99998772798067e-09
11911060,0.0001,11111.1262644605,8.999987725803734e-09
5542126,0.0001,11111.126267238596,8.999987723553484e-09
15037424,0.0001,11111.126267569512,8.999987723285443e-09
46262119,0.0001,11111.12627507508,8.999987717205948e-09
4880375,0.0001,11111.126275249468,8.999987717064695e-09
23609829,0.0001,11111.126277339275,8.999987715371956e-09
18827329,0.00012,13333.351533359346,8.99998771499921e-09
17862246,0.0001,11111.126278192716,8.999987714680671e-09
42990723,0.00012,13333.351533851592,8.999987714666945e-09
23679812,0.0001,11111.126279203,8.999987713862343e-09
35463284,0.0001,11111.126279281389,8.999987713798849e-09
31060553,0.0001,11111.126281076977,8.999987712344427e-09
52287082,0.0001,11111.126281428657,8.999987712059568e-09
36573019,0.0001,11111.126282956524,8.999987710821996e-09
49890031,0.0001,11111.126283328957,8.999987710520327e-09
