t_tripkey,avg_distance_to_5_nearest
33049925,82.41717540998245
38702300,82.3867461839038
43678010,82.3811468547622
18270141,82.3713929280359
45506595,82.36131794197401
59878445,82.28634400520824
9512834,82.28459428771441
7488363,82.27135544561554
6161615,82.25412458727153
45254518,82.25073992609389
31898240,82.24395000711579
15732339,82.24348664671476
24426300,82.23704783914226
14761654,82.23200961532129
57689368,82.18821207824666
12865187,82.17272151470091
1397637,82.17243285334354
12773166,82.16121372570242
28252613,82.15305146181578
4166482,82.15053640141551
57193458,82.15027122659403
6744577,82.14811633092395
47837354,82.14120566545054
23578308,82.13863838424922
18438164,82.13801988887565
42472344,82.1327292824978
6837774,82.12996620065037
2976679,82.1256620408896
4977343,82.12502215825799
3373246,82.11519933820242
34190385,82.11418370336746
430931,82.11392438052079
6811594,82.09108636545011
20233760,82.08429244766498
56103183,82.083923120647
16331549,82.08050667258661
1297698,82.08005332424997
51807265,82.07295025578114
39406302,82.07252334253738
7302689,82.06933774321907
54264684,82.06933774321907
35860558,82.06411781616968
18316619,82.06383979762147
3979553,82.0570118002544
13412731,82.05467252732363
53742593,82.04920502793884
16574552,82.04821090649065
51273606,82.03530835049294
30961532,82.03387581567956
55704660,82.03362443153652
9981500,82.0329708540921
51705904,82.03035476137386
37496928,82.03002775974184
29351539,82.02760956511187
9219488,82.02312032582505
58169529,82.01499679498507
30857416,82.00379411620114
2970494,81.99816891880951
39247287,81.98960374788278
29081705,81.98066309575533
33937777,81.97978660321368
43395712,81.9794982349063
29624103,81.96949197994653
25750118,81.9630224061527
58520425,81.95984109007286
41906336,81.9587942516498
9010688,81.95082198949906
32052741,81.93081397066844
45239882,81.92874660954921
8158132,81.92732038349257
27802406,81.92665174525762
29927671,81.9231326997304
46853666,81.92117958587237
19395220,81.92047779551055
46285154,81.92015044504129
12037148,81.91822530428017
44535756,81.91786771340348
52344272,81.91627048706815
44276151,81.91511723602227
29665290,81.91257129174735
30058603,81.91223225074272
30471676,81.90694305905166
14139626,81.90285687719219
24942297,81.90238800482
29376981,81.89359399514856
1079535,81.88939795690706
39013048,81.88805486227955
56672651,81.88569988577301
35457415,81.87950603530031
21691183,81.87449000874267
6347765,81.87086990249978
55901855,81.86992933106158
36758120,81.86918488386479
21331415,81.86774179441913
23296062,81.86229985979897
53571250,81.85763140113673
41198149,81.8572256230268
13685229,81.85252882931745
40018821,81.85057952827009
17686670,81.84985558839954
