building_1,building_2,area1,area2,overlap_area,iou
7562,18534,2.4373780229964535e-05,2.548706725980828e-05,2.2785758541344757e-05,0.8415764980401906
18534,33722,2.548706725980828e-05,2.414813628604791e-05,2.2031606152879886e-05,0.7981425695799272
56879,59169,1.9825495385603443e-05,2.216859057513295e-05,1.8617192467936972e-05,0.7963929199434246
41144,56269,2.3354510530735756e-05,2.1794983875149956e-05,1.9941757528523235e-05,0.7910967027917412
7562,33722,2.4373780229964535e-05,2.414813628604791e-05,2.1274582386158633e-05,0.7807950049266993
59169,85669,2.216859057513295e-05,2.2021499739018316e-05,1.9102426676396933e-05,0.7614270883180114
18534,44900,2.548706725980828e-05,2.1168705403568017e-05,2.014878000214866e-05,0.7601307420898308
10470,41144,2.5665941727666144e-05,2.3354510530735756e-05,2.101881129634395e-05,0.7506278408763368
27745,67635,1.9470762671785204e-05,1.891625742439207e-05,1.6401426749839152e-05,0.7460079194347029
56879,85669,1.9825495385603443e-05,2.2021499739018316e-05,1.768246733530889e-05,0.731753067532701
33722,44900,2.414813628604791e-05,2.1168705403568017e-05,1.914041583434951e-05,0.7312081466041195
28181,73497,1.7191091557620476e-05,1.3826767804732546e-05,1.3086714399310857e-05,0.7298314985620743
10271,25609,9.100099908415406e-06,8.774798981326256e-06,7.52430313478104e-06,0.7269439665996951
33606,69284,1.5387186957023278e-05,1.9422597060585286e-05,1.4652379600638352e-05,0.7268981312049649
27745,41144,1.9470762671785204e-05,2.3354510530735756e-05,1.8005478635280825e-05,0.7254483346548892
48912,56879,1.732368237789827e-05,1.9825495385603443e-05,1.558405802003307e-05,0.7226511239174992
13358,48912,1.8054457470385897e-05,1.732368237789827e-05,1.4811059571213769e-05,0.7201342811758342
48912,59169,1.732368237789827e-05,2.216859057513295e-05,1.6497971540084732e-05,0.7174808768400275
13358,85669,1.8054457470385897e-05,2.2021499739018316e-05,1.665099797168743e-05,0.7108229219403497
41144,67635,2.3354510530735756e-05,1.891625742439207e-05,1.7561324532527076e-05,0.7107130756520572
15719,42541,8.77632781176479e-06,8.006340594075691e-06,6.967645060959407e-06,0.7098959234359142
2285,15719,6.849058279198044e-06,8.77632781176479e-06,6.445979506828921e-06,0.7022218100645453
13658,15719,7.74403565152433e-06,8.77632781176479e-06,6.813826545713668e-06,0.7019832720541139
10470,56269,2.5665941727666144e-05,2.1794983875149956e-05,1.9530737341481052e-05,0.6992698065167819
48912,85669,1.732368237789827e-05,2.2021499739018316e-05,1.6170178342792875e-05,0.6977422096840328
56569,58874,2.226427351696784e-05,2.413065394314355e-05,1.8934146515527035e-05,0.6894977442096784
43545,48912,1.716120160194244e-05,1.732368237789827e-05,1.401545868034828e-05,0.684702109379486
16248,77659,2.0039156070424067e-05,2.312831615537903e-05,1.7523268885770506e-05,0.6833228021716441
33606,67696,1.5387186957023278e-05,1.144154972188497e-05,1.0881904015047057e-05,0.6823865431100743
53151,53976,1.5320225221692213e-05,1.7310439031962652e-05,1.317373119823745e-05,0.6770713123551336
7562,44900,2.4373780229964535e-05,2.1168705403568017e-05,1.838341823850933e-05,0.6768795839388068
40224,85669,1.940444216634657e-05,2.2021499739018316e-05,1.6677180156183303e-05,0.6738591742568616
13132,48944,8.196937624003745e-06,7.682370867463278e-06,6.379686342282386e-06,0.6715726417423836
18534,31981,2.548706725980828e-05,1.963466183672991e-05,1.8081416428795325e-05,0.6686837038820613
10470,69284,2.5665941727666144e-05,1.9422597060585286e-05,1.805458943828807e-05,0.6678487558205232
40224,48912,1.940444216634657e-05,1.732368237789827e-05,1.470052178034984e-05,0.6673682078762185
13358,59169,1.8054457470385897e-05,2.216859057513295e-05,1.602332083543224e-05,0.6621281593932022
2285,13658,6.849058279198044e-06,7.74403565152433e-06,5.8121426044000695e-06,0.6619035214302174
13358,43545,1.8054457470385897e-05,1.716120160194244e-05,1.4016207434339683e-05,0.6611589617357434
40224,56879,1.940444216634657e-05,1.9825495385603443e-05,1.560420417432955e-05,0.6604749120342936
23482,70457,1.0779669633196843e-05,1.3382394365654406e-05,9.595518398912864e-06,0.6587367151037821
10470,27745,2.5665941727666144e-05,1.9470762671785204e-05,1.7819321394848963e-05,0.6523070453654655
24457,64214,2.0121989656299957e-05,1.9199159436916784e-05,1.5496470594819808e-05,0.6504377633411718
6234,27109,4.342577633204926e-06,4.372054461974337e-06,3.4340987267863144e-06,0.6503317917355441
13658,42541,7.74403565152433e-06,8.006340594075691e-06,6.189329362175139e-06,0.6473485003933007
43545,59169,1.716120160194244e-05,2.216859057513295e-05,1.5449930102562295e-05,0.6469857344382218
49383,77659,1.658662072672837e-05,2.312831615537903e-05,1.5584995165303244e-05,0.6458778619614242
13358,56879,1.8054457470385897e-05,1.9825495385603443e-05,1.4836046722380949e-05,0.64381648824473
10470,67635,2.5665941727666144e-05,1.891625742439207e-05,1.7356452768679124e-05,0.637501448969457
27109,54678,4.372054461974337e-06,3.960846684953356e-06,3.2397656138509255e-06,0.6361043394212956
7562,31981,2.4373780229964535e-05,1.963466183672991e-05,1.7101772067407153e-05,0.635596009014127
13358,40224,1.8054457470385897e-05,1.940444216634657e-05,1.4522634226756158e-05,0.63317344681752
14758,67135,1.5140919104000392e-05,1.6392240834463397e-05,1.2220927040727012e-05,0.6328075632393186
43545,85669,1.716120160194244e-05,2.2021499739018316e-05,1.516236397985069e-05,0.63123026758147
31981,33722,1.963466183672991e-05,2.414813628604791e-05,1.6838624023630377e-05,0.6249448939005771
51334,85166,1.0391449579267792e-05,1.1749507578483414e-05,8.461134256028164e-06,0.6185119732041591
27745,56269,1.9470762671785204e-05,2.1794983875149956e-05,1.574981716650773e-05,0.6172543014870149
7480,16248,1.7624240263046725e-05,2.0039156070424067e-05,1.4370262208799537e-05,0.6169312438543454
40224,59169,1.940444216634657e-05,2.216859057513295e-05,1.579410212465977e-05,0.6126748374253637
56269,67635,2.1794983875149956e-05,1.891625742439207e-05,1.543047152295819e-05,0.610363990468778
12318,51334,6.8921815719267345e-06,1.0391449579267792e-05,6.541241796506978e-06,0.6089187033285701
13132,42541,8.196937624003745e-06,8.006340594075691e-06,6.131994038214431e-06,0.6088592009422006
22626,26223,1.0058277528237973e-05,1.6603697217494314e-05,1.0045478246842005e-05,0.6045485128295779
31981,44900,1.963466183672991e-05,2.1168705403568017e-05,1.5305422490008388e-05,0.6002610265219352
19840,33722,1.6415155018613432e-05,2.414813628604791e-05,1.5149520690901511e-05,0.5961146388367524
22562,23856,7.666457107951379e-06,1.1944144907188824e-05,7.308473619329799e-06,0.5940820469585378
41144,69284,2.3354510530735756e-05,1.9422597060585286e-05,1.5829212271450116e-05,0.5874006887572375
14758,49975,1.5140919104000392e-05,1.2399826181215723e-05,1.0117024695480066e-05,0.5806466330411538
13132,15719,8.196937624003745e-06,8.77632781176479e-06,6.234008008541844e-06,0.5804878084714761
8414,23647,8.752424791324454e-06,7.76580774433672e-06,6.064670408783578e-06,0.5801534764107297
16243,65703,7.771825227444793e-06,9.073141063448445e-06,6.1782469405848805e-06,0.5792077899196136
18534,19840,2.548706725980828e-05,1.6415155018613432e-05,1.5357254771270103e-05,0.5785373354528549
19840,44900,1.6415155018613432e-05,2.1168705403568017e-05,1.3771854867533432e-05,0.5783576203158249
40224,43545,1.940444216634657e-05,1.716120160194244e-05,1.3347598678323876e-05,0.5748803840549316
67135,78579,1.6392240834463397e-05,1.1689825994155627e-05,1.0212035283321762e-05,0.5714615140681829
14758,78579,1.5140919104000392e-05,1.1689825994155627e-05,9.726783393126514e-06,0.5686859898818825
7480,77659,1.7624240263046725e-05,2.312831615537903e-05,1.474608167359204e-05,0.5670157842720073
11067,25751,1.186511671958273e-05,1.5082070624376844e-05,9.747455888290868e-06,0.5667213998901297
16248,49383,2.0039156070424067e-05,1.658662072672837e-05,1.3211193303259886e-05,0.5642292679135587
26223,54953,1.6603697217494314e-05,9.93018722744291e-06,9.57026656821336e-06,0.5641642388882697
37644,65703,9.717502397697947e-06,9.073141063448445e-06,6.766095093242812e-06,0.562690164006754
7562,19840,2.4373780229964535e-05,1.6415155018613432e-05,1.4681310638295869e-05,0.5623380471202981
11067,23856,1.186511671958273e-05,1.1944144907188824e-05,8.527997204221984e-06,0.5580688199883364
23856,38356,1.1944144907188824e-05,8.66574820610862e-06,7.376598640762485e-06,0.5574272269140724
51334,72821,1.0391449579267792e-05,7.25525526366395e-06,6.3091462250450585e-06,0.5564819056451398
26223,81586,1.6603697217494314e-05,2.0116479762821215e-05,1.3103134602570089e-05,0.5548169153863778
50496,57386,6.7051470119362805e-06,7.403596662131083e-06,5.020145161270652e-06,0.552356356615633
49975,67135,1.2399826181215723e-05,1.6392240834463397e-05,1.0241346666297367e-05,0.5520727213506125
10470,33606,2.5665941727666144e-05,1.5387186957023278e-05,1.4584797779294982e-05,0.5510282394241373
42541,48944,8.006340594075691e-06,7.682370867463278e-06,5.557091595642186e-06,0.5484899422991043
27109,32401,4.372054461974337e-06,4.902591004541364e-06,3.275585992436509e-06,0.5460165891986403
23856,25751,1.1944144907188824e-05,1.5082070624376844e-05,9.543795961521364e-06,0.5459081864088438
55697,81121,1.7644827992676286e-05,2.032163392287819e-05,1.3398221900777515e-05,0.5453472406944471
67635,69284,1.891625742439207e-05,1.9422597060585286e-05,1.3519191623193738e-05,0.5446968276112274
