t_tripkey,pickup_lon,pickup_lat,t_pickuptime,distance_to_center
37529225,-111.735625245,34.885721441,1997-09-05 03:53:09,0.0300094112409184
45507663,-111.724180055,34.860517248,1994-11-22 19:40:20,0.0379477441239378
6986191,-111.75808457,34.908375526,1998-01-27 15:42:34,0.0387852554904758
52219107,-111.7382378,34.903942986,1995-06-21 22:03:24,0.0411181205678954
29486918,-111.799266371,34.885907183,1997-12-05 05:02:59,0.0415570442922201
55517951,-111.727954643,34.842023534,1992-06-04 21:51:19,0.0431043198473912
57461745,-111.728777429,34.840968996,1992-08-08 06:04:31,0.0431713408721288
13042767,-111.803342631,34.886159964,1996-04-15 22:56:42,0.0454293827262088
10488708,-111.715745648,34.892279305,1993-12-23 16:55:55,0.050574513237628
20284114,-111.710404579,34.872213381,1995-10-14 23:22:47,0.0506578099627106
58418996,-111.720198548,34.837384622,1997-09-15 16:27:21,0.0520484595409979
1451371,-111.791052127,34.826733457,1998-08-12 06:47:01,0.0524333305693538
18863845,-111.725188236,34.8304117,1998-12-05 04:43:34,0.05316063353349
2047835,-111.706967009,34.883889472,1992-04-08 07:36:09,0.0558650627140503
23305079,-111.718006417,34.830532213,1993-03-20 12:51:58,0.0581598118777507
48909393,-111.799011735,34.825549903,1992-11-13 04:02:14,0.0582591028322561
30446860,-111.818793456,34.851028672,1996-09-05 18:44:47,0.0607346856887192
43072271,-111.791692819,34.814214703,1993-12-04 10:31:56,0.0634087322168327
38992295,-111.767947636,34.806191859,1994-09-13 09:20:18,0.0638870379597023
58346357,-111.743062925,34.932369901,1995-09-10 07:22:46,0.0651863110699254
32527470,-111.828456974,34.865426619,1995-09-10 12:27:31,0.0675921972302214
17924592,-111.790727978,34.808764917,1996-01-01 09:07:19,0.0677999779954721
3936870,-111.827619221,34.882950924,1998-11-10 13:32:07,0.0679242783804285
12635156,-111.691910429,34.874230947,1994-03-30 02:54:38,0.0692379830850073
48107471,-111.823187308,34.839099933,1997-07-26 02:24:31,0.0693081912669214
42821648,-111.766571842,34.798188357,1994-03-27 08:04:29,0.0717283800725531
58805689,-111.690226696,34.856478727,1994-05-02 18:54:53,0.0719976570369955
9324068,-111.832447792,34.858447016,1998-08-04 08:36:12,0.0723285326173542
41003882,-111.814085315,34.919127104,1996-12-10 23:22:10,0.0725333666561539
40800365,-111.804966373,34.811438261,1993-08-14 02:31:57,0.0729895347709508
39886823,-111.801390601,34.807860975,1994-06-28 16:07:08,0.0738611241594134
58734821,-111.703630217,34.917493907,1992-12-12 04:40:16,0.0746696025688599
